controller_mode,base_load_A,target_load_A,ref_slew_us,time_us,vout_V
dynamic_refslew,40,20,0,-19.9999999999999,0.999252050342515
dynamic_refslew,40,20,0,-19.9139999999999,0.99918073445432
dynamic_refslew,40,20,0,-19.83,0.999447023238066
dynamic_refslew,40,20,0,-19.744,0.999689110730181
dynamic_refslew,40,20,0,-19.66,0.999536258713023
dynamic_refslew,40,20,0,-19.574,0.999358904289096
dynamic_refslew,40,20,0,-19.4899999999999,0.99916474185085
dynamic_refslew,40,20,0,-19.4039999999999,0.999250834318233
dynamic_refslew,40,20,0,-19.32,0.999533043579356
dynamic_refslew,40,20,0,-19.234,0.999633575180488
dynamic_refslew,40,20,0,-19.1499999999999,0.999478501539072
dynamic_refslew,40,20,0,-19.064,0.999298213345559
dynamic_refslew,40,20,0,-18.98,0.999099152458233
dynamic_refslew,40,20,0,-18.894,0.999350702618463
dynamic_refslew,40,20,0,-18.81,0.999648673131046
dynamic_refslew,40,20,0,-18.724,0.999601829708846
dynamic_refslew,40,20,0,-18.6399999999999,0.999443737385235
dynamic_refslew,40,20,0,-18.5539999999999,0.999260374207157
dynamic_refslew,40,20,0,-18.47,0.999194922716552
dynamic_refslew,40,20,0,-18.384,0.999479341626252
dynamic_refslew,40,20,0,-18.3,0.999737808737294
dynamic_refslew,40,20,0,-18.214,0.999592290144798
dynamic_refslew,40,20,0,-18.1299999999999,0.999431041966192
dynamic_refslew,40,20,0,-18.0439999999999,0.999244463597224
dynamic_refslew,40,20,0,-17.9579999999999,0.999342269052477
dynamic_refslew,40,20,0,-17.874,0.99963601869093
dynamic_refslew,40,20,0,-17.788,0.999748134043815
dynamic_refslew,40,20,0,-17.704,0.999604465544358
dynamic_refslew,40,20,0,-17.618,0.999435795321721
dynamic_refslew,40,20,0,-17.534,0.999247963601248
dynamic_refslew,40,20,0,-17.448,0.99952363477667
dynamic_refslew,40,20,0,-17.364,0.99983415487418
dynamic_refslew,40,20,0,-17.278,0.999789560127053
dynamic_refslew,40,20,0,-17.1939999999999,0.999642716636993
dynamic_refslew,40,20,0,-17.1079999999999,0.999470810703059
dynamic_refslew,40,20,0,-17.024,0.999281942241121
dynamic_refslew,40,20,0,-16.938,0.999350030680244
dynamic_refslew,40,20,0,-16.854,0.999634804964696
dynamic_refslew,40,20,0,-16.768,0.999762035625051
dynamic_refslew,40,20,0,-16.6839999999999,0.9996123103303
dynamic_refslew,40,20,0,-16.5979999999999,0.999437468786371
dynamic_refslew,40,20,0,-16.514,0.999244563886777
dynamic_refslew,40,20,0,-16.428,0.999476362872257
dynamic_refslew,40,20,0,-16.344,0.999776900766904
dynamic_refslew,40,20,0,-16.258,0.999757726407761
dynamic_refslew,40,20,0,-16.174,0.999604982353693
dynamic_refslew,40,20,0,-16.088,0.999427065195455
dynamic_refslew,40,20,0,-16.004,0.999232354417214
dynamic_refslew,40,20,0,-15.918,0.999341245958922
dynamic_refslew,40,20,0,-15.832,0.999632764164062
dynamic_refslew,40,20,0,-15.7479999999999,0.999706642742245
dynamic_refslew,40,20,0,-15.6619999999999,0.999547196416655
