success,error_message,r027_case_id,target_label,objective,policy,source_policy,policy_kind,policy_role,online_available_inputs_only,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,realized_ref_slew_us_in_offline_grid,tau_ai_us,delay_events,ref_start_delay_us,delay_mode,offline_objective_score,offline_regret_vs_oracle,offline_undershoot_mV,offline_settle_time_us,offline_skip_count_est,offline_phase_std_ns,vout_initial_V,vout_peak_V,vout_min_V,overshoot_mV,undershoot_mV,t_peak_us,settle_time_us,first_gate_edge_us,max_gate_gap_us,skip_count_est,final_vout_error_mV,final_il1_mean_A,final_il2_mean_A,final_il3_mean_A,final_il4_mean_A,final_il_total_mean_A,final_load_error_A,final_il_phase_imbalance_A,final_il_m2_projection_A,final_phase_spacing_mean_ns,final_phase_spacing_std_ns,final_phase_sequence_error_fraction,base_score,score_settle005,score_settle010,selected_objective_score,switching_regret_vs_best_in_run,chunk_file,chunk_order,switching_regret_priority,offline_regret_within_priority,priority_row
1,,R027_0047,10A,score_settle005,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,0,0.05,10.0,30.0,34,34,0.5,1,0.5,commit_after_tau_ai,10.2169649805478,0.208886908204216,5.14617078943369,15.2280000000001,1,88.0342564174254,0.99951236273925,1.00419623534961,0.995137464448406,4.19623534961322,4.86253555159422,1.01000000000002,13.478,2.89800000000351,0.892000000000004,1,-0.583682143987407,2.31795865019093,2.39623084849337,2.83488864552608,2.46460395537642,10.0136820995868,0.0136820995867968,0.516929995335153,0.0730031229618044,574.882352940974,110.29568103465,0,9.65213131627463,10.3260313162746,10.9999313162746,10.3260313162746,0.347072684664798,iqcot_r027_proxy_table_in_loop_results_priority_rows007_018.csv,1,0.3470726846647594,0.20888690820419953,11
1,,R027_0048,10A,score_settle005,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,0,0.05,10.0,30.0,50,50,0.5,1,0.5,commit_after_tau_ai,10.0080780723436,0.0,4.84748739227403,20.5380000000001,1,79.7841311007952,0.99951236273925,1.00419623534961,0.995320429988204,4.19623534961322,4.67957001179586,1.01000000000002,21.638,2.8840000000035,0.876000000000023,1,-0.54186817449775,2.32677519222017,2.55642910666451,2.50921883062034,2.65031501490392,10.0427381444089,0.0427381444089399,0.323539822683756,-0.0926875246819805,575.272727272727,83.781022265811,0,8.89705863160983,9.97895863160984,11.0608586316098,9.97895863160984,0.0,iqcot_r027_proxy_table_in_loop_results_priority_rows007_018.csv,1,0.0,0.0,12
1,,R027_0050,10A,score_settle005,fixed_40us_precommitted,fixed,fixed,baseline,1,0.05,10.0,30.0,40,40,1.0,2,0.0,precommitted,10.2618400627844,0.253761990440799,5.01028636671008,17.534,1,91.29556151628,0.99951236273925,1.00419623534961,0.99498971363329,4.19623534961322,5.01028636671008,1.01000000000002,17.534,2.9080000000035,1.03199999999999,1,-0.54894246574877,2.37466604348003,2.45483291477991,2.69493044113661,2.4994972774893,10.0239266768859,0.0239266768858588,0.320264397656583,0.0288165730868561,576.666666666458,91.29556151628,0,9.38514006278445,10.2618400627845,11.1385400627845,10.2618400627845,0.579291428467954,iqcot_r027_proxy_table_in_loop_results_priority_rows007_018.csv,1,0.5792914284680002,0.2537619904407986,13
1,,R027_0051,10A,score_settle005,fixed_80us_precommitted,fixed,fixed,baseline,1,0.05,10.0,30.0,80,80,1.0,2,0.0,precommitted,10.5393457609743,0.531267688630699,4.63087064829415,34.286,1,82.1829076099372,0.99951236273925,1.00419623534961,0.995369129351706,4.19623534961322,4.63087064829415,1.01000000000002,34.286,2.8800000000035,0.945999999999987,1,-0.550516960481362,2.39971732104839,2.40488149094562,2.57604365410199,2.62676660474745,10.0074090708435,0.0074090708434528,0.227049283699064,-0.0139717801356751,574.969696969905,82.1829076099372,0,8.82504576097426,10.5393457609743,12.2536457609743,10.5393457609743,0.856797126657758,iqcot_r027_proxy_table_in_loop_results_priority_rows007_018.csv,1,0.8567971266577992,0.5312676886306988,14
1,,R027_0052,10A,score_settle005,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,1,0.05,10.0,30.0,50,50,1.0,2,1.0,commit_after_tau_ai,10.0080780723436,0.0,4.84748739227403,20.5380000000001,1,79.7841311007952,0.99951236273925,1.00419623534961,0.995465891965013,4.19623534961322,4.53410803498733,1.01000000000002,23.362,2.87200000000006,0.917999999996565,1,-0.540513168595491,2.36825480835345,2.43952904794139,2.61560205072092,2.59775651026976,10.0211424172855,0.0211424172855175,0.247347242367463,-0.0133571747841934,574.484848484849,71.991371536684,0,8.5144486343165,9.6825486343165,10.8506486343165,9.6825486343165,0.0,iqcot_r027_proxy_table_in_loop_results_priority_rows007_018.csv,1,0.0,0.0,15
1,,R027_0053,10A,score_settle005,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,1,0.05,10.0,30.0,62,62,1.0,2,1.0,commit_after_tau_ai,10.3630835522926,0.355005479949023,4.73912126375797,27.3860000000001,1,85.3659235830467,0.99951236273925,1.00419623534961,0.995531259933209,4.19623534961322,4.46874006679066,1.01000000000002,29.0800000000001,2.86800000000352,0.886000000000018,1,-0.563127882251546,2.3693360664126,2.56251038370398,2.56842063069451,2.51320003368574,10.0134671144968,0.013467114496839,0.199084564281902,-0.0344884300706545,577.333333333333,90.1743681253905,0,8.83535531155001,10.28935531155,11.74335531155,10.28935531155,0.606806677233516,iqcot_r027_proxy_table_in_loop_results_priority_rows007_018.csv,1,0.6068066772335001,0.3550054799489999,16
1,,R027_0054,10A,score_settle005,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,0,0.05,10.0,30.0,34,34,1.0,2,1.0,commit_after_tau_ai,10.2169649805478,0.208886908204216,5.14617078943369,15.2280000000001,1,88.0342564174254,0.99951236273925,1.00419623534961,0.995369129351706,4.19623534961322,4.63087064829415,1.01000000000002,14.796,2.8800000000035,1.04,1,-0.558747846929331,2.29336436934961,2.61157515640601,2.59841434456723,2.52534283856409,10.0286967088869,0.0286967088869421,0.318210787056402,-0.0612848202633143,575.939393939394,95.4665973636783,0,9.09895044249705,9.83875044249705,10.578550442497,9.83875044249705,0.156201808180548,iqcot_r027_proxy_table_in_loop_results_priority_rows007_018.csv,1,0.1562018081805494,0.20888690820419953,17
1,,R027_0055,10A,score_settle005,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,0,0.05,10.0,30.0,50,50,1.0,2,1.0,commit_after_tau_ai,10.0080780723436,0.0,4.84748739227403,20.5380000000001,1,79.7841311007952,0.99951236273925,1.00419623534961,0.995465891965013,4.19623534961322,4.53410803498733,1.01000000000002,23.362,2.87200000000006,0.917999999996565,1,-0.540513168595491,2.36825480835345,2.43952904794139,2.61560205072092,2.59775651026976,10.0211424172855,0.0211424172855175,0.247347242367463,-0.0133571747841934,574.484848484849,71.991371536684,0,8.5144486343165,9.6825486343165,10.8506486343165,9.6825486343165,0.0,iqcot_r027_proxy_table_in_loop_results_priority_rows007_018.csv,1,0.0,0.0,18
1,,R027_0057,10A,score_settle005,fixed_40us_precommitted,fixed,fixed,baseline,1,0.05,10.0,30.0,40,40,2.0,4,0.0,precommitted,10.2618400627844,0.253761990440799,5.01028636671008,17.534,1,91.29556151628,0.99951236273925,1.00419623534961,0.99498971363329,4.19623534961322,5.01028636671008,1.01000000000002,17.534,2.9080000000035,1.03199999999999,1,-0.54894246574877,2.37466604348003,2.45483291477991,2.69493044113661,2.4994972774893,10.0239266768859,0.0239266768858588,0.320264397656583,0.0288165730868561,576.666666666458,91.29556151628,0,9.38514006278445,10.2618400627845,11.1385400627845,10.2618400627845,0.973209488215151,iqcot_r027_proxy_table_in_loop_results_priority_rows019_030.csv,2,0.9732094882152005,0.2537619904407986,19
1,,R027_0058,10A,score_settle005,fixed_80us_precommitted,fixed,fixed,baseline,1,0.05,10.0,30.0,80,80,2.0,4,0.0,precommitted,10.5393457609743,0.531267688630699,4.63087064829415,34.286,1,82.1829076099372,0.99951236273925,1.00419623534961,0.995369129351706,4.19623534961322,4.63087064829415,1.01000000000002,34.286,2.8800000000035,0.945999999999987,1,-0.550516960481362,2.39971732104839,2.40488149094562,2.57604365410199,2.62676660474745,10.0074090708435,0.0074090708434528,0.227049283699064,-0.0139717801356751,574.969696969905,82.1829076099372,0,8.82504576097426,10.5393457609743,12.2536457609743,10.5393457609743,1.25071518640496,iqcot_r027_proxy_table_in_loop_results_priority_rows019_030.csv,2,1.2507151864049995,0.5312676886306988,20
