success,error_message,r027_case_id,target_label,objective,policy,source_policy,policy_kind,policy_role,online_available_inputs_only,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,realized_ref_slew_us_in_offline_grid,tau_ai_us,delay_events,ref_start_delay_us,delay_mode,offline_objective_score,offline_regret_vs_oracle,offline_undershoot_mV,offline_settle_time_us,offline_skip_count_est,offline_phase_std_ns,vout_initial_V,vout_peak_V,vout_min_V,overshoot_mV,undershoot_mV,t_peak_us,settle_time_us,first_gate_edge_us,max_gate_gap_us,skip_count_est,final_vout_error_mV,final_il1_mean_A,final_il2_mean_A,final_il3_mean_A,final_il4_mean_A,final_il_total_mean_A,final_load_error_A,final_il_phase_imbalance_A,final_il_m2_projection_A,final_phase_spacing_mean_ns,final_phase_spacing_std_ns,final_phase_sequence_error_fraction,base_score,score_settle005,score_settle010,selected_objective_score,switching_regret_vs_best_in_run
1,,R027_0036,10A,score_settle005,fixed_40us_precommitted,fixed,fixed,baseline,1,0.05,10,30,40,40,0,0,0,precommitted,10.2618400627844,0.253761990440799,5.01028636671008,17.534,1,91.29556151628,0.99951236273925,1.00419623534961,0.99498971363329,4.19623534961322,5.01028636671008,1.01000000000002,17.534,2.9080000000035,1.03199999999999,1,-0.54894246574877,2.37466604348003,2.45483291477991,2.69493044113661,2.4994972774893,10.0239266768859,0.0239266768858588,0.320264397656583,0.0288165730868561,576.666666666458,91.29556151628,0,9.38514006278445,10.2618400627845,11.1385400627845,10.2618400627845,0.253761990440807
1,,R027_0037,10A,score_settle005,fixed_80us_precommitted,fixed,fixed,baseline,1,0.05,10,30,80,80,0,0,0,precommitted,10.5393457609743,0.531267688630699,4.63087064829415,34.286,1,82.1829076099372,0.99951236273925,1.00419623534961,0.995369129351706,4.19623534961322,4.63087064829415,1.01000000000002,34.286,2.8800000000035,0.945999999999987,1,-0.550516960481362,2.39971732104839,2.40488149094562,2.57604365410199,2.62676660474745,10.0074090708435,0.00740907084345288,0.227049283699064,-0.0139717801356751,574.969696969905,82.1829076099372,0,8.82504576097426,10.5393457609743,12.2536457609743,10.5393457609743,0.531267688630612
1,,R027_0038,10A,score_settle005,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,1,0.05,10,30,50,50,0,0,0,commit_after_tau_ai,10.0080780723436,0,4.84748739227403,20.5380000000001,1,79.7841311007952,0.99951236273925,1.00419623534961,0.995152512607726,4.19623534961322,4.84748739227403,1.01000000000002,20.5380000000001,2.89600000000353,0.980000000000035,1,-0.538008058053707,2.5088668738986,2.34594527052163,2.69686059652504,2.49013459820067,10.0418073391459,0.0418073391459366,0.350915326003411,0.0924119004253341,579.151515151307,79.7841311007952,0,8.98117807234364,10.0080780723436,11.0349780723436,10.0080780723436,0
1,,R027_0039,10A,score_settle005,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,1,0.05,10,30,62,62,0,0,0,commit_after_tau_ai,10.3630835522926,0.355005479949023,4.73912126375797,27.3860000000001,1,85.3659235830467,0.99951236273925,1.00419623534961,0.995260878736242,4.19623534961322,4.73912126375797,1.01000000000002,27.3860000000001,2.88800000000351,0.973999999999994,1,-0.547343816873713,2.3651062751122,2.33621622248247,2.66999310566375,2.61316086697413,9.98447647023255,-0.0155235297674512,0.333776883181276,0.0214305728298367,580.181818181609,85.3659235830467,0,8.99378355229262,10.3630835522926,11.7323835522926,10.3630835522926,0.355005479948977
1,,R027_0040,10A,score_settle005,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,0,0.05,10,30,34,34,0,0,0,commit_after_tau_ai,10.2169649805478,0.208886908204216,5.14617078943369,15.2280000000001,1,88.0342564174254,0.99951236273925,1.00419623534961,0.994853829210566,4.19623534961322,5.14617078943369,1.01000000000002,15.2280000000001,2.9180000000035,1.13400000000344,1,-0.548709062765607,2.43542662240464,2.45538449223852,2.63088257951838,2.47357412435371,9.99526781851525,-0.00473218148475318,0.195455957113739,0.0343376463326944,575.69696969697,88.0342564174254,0,9.45556498054781,10.2169649805478,10.9783649805478,10.2169649805478,0.208886908204162
1,,R027_0041,10A,score_settle005,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,0,0.05,10,30,50,50,0,0,0,commit_after_tau_ai,10.0080780723436,0,4.84748739227403,20.5380000000001,1,79.7841311007952,0.99951236273925,1.00419623534961,0.995152512607726,4.19623534961322,4.84748739227403,1.01000000000002,20.5380000000001,2.89600000000353,0.980000000000035,1,-0.538008058053707,2.5088668738986,2.34594527052163,2.69686059652504,2.49013459820067,10.0418073391459,0.0418073391459366,0.350915326003411,0.0924119004253341,579.151515151307,79.7841311007952,0,8.98117807234364,10.0080780723436,11.0349780723436,10.0080780723436,0
